Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
generate-subtitles,mayeaux,"Generate transcripts for audio and video content with a user friendly UI, powered by Open AI's Whisper with automatic translations and download videos automatically with yt-dlp integration",https://github.com/mayeaux/generate-subtitles,JavaScript,2022-11-06T16:18:05Z,2024-10-14T01:48:09Z,746,101,24,No License
chaos_genius,chaos-genius,ML powered analytics engine for outlier detection and root cause analysis.,https://github.com/chaos-genius/chaos_genius,Python,2021-05-27T08:13:03Z,2024-10-14T02:24:38Z,730,82,75,MIT License
SandDance,microsoft,"Visually explore, understand, and present your data.",https://github.com/microsoft/SandDance,TypeScript,2018-11-05T22:45:31Z,2024-10-09T08:16:51Z,6388,523,98,MIT License
Stock_Analysis_For_Quant,LastAncientOne,"Various Types of Stock Analysis in Excel, Matlab, Power BI, Python, R, and Tableau",https://github.com/LastAncientOne/Stock_Analysis_For_Quant,Jupyter Notebook,2019-03-02T17:08:24Z,2024-10-14T05:35:23Z,1665,457,0,MIT License
PowerBI-Developer-Samples,microsoft,A collection of Power BI samples for developer use.,https://github.com/microsoft/PowerBI-Developer-Samples,JavaScript,2017-02-26T11:47:13Z,2024-10-14T08:03:14Z,1550,1436,75,MIT License
powerbi-desktop-samples,microsoft,Power BI Desktop sample files for the monthly release. Here you can find the PBIX files used in the monthly release videos.,https://github.com/microsoft/powerbi-desktop-samples,,2018-03-28T12:26:47Z,2024-10-14T06:16:08Z,1429,872,30,MIT License
PowerBI-JavaScript,microsoft,JavaScript library for embedding Power BI into your apps. Check out the docs website and wiki for more information.,https://github.com/microsoft/PowerBI-JavaScript,TypeScript,2015-09-28T21:59:50Z,2024-10-14T08:03:56Z,1056,464,75,Other
TabularEditor,TabularEditor,"This is the code repository and issue tracker for Tabular Editor 2.X (free, open-source version). This repository is being maintained by Daniel Otykier.",https://github.com/TabularEditor/TabularEditor,C#,2016-11-14T18:59:21Z,2024-10-12T00:53:32Z,872,214,197,MIT License
Azure-DevOps,vinijmoura,"Data extraction and Power BI report that generate management informations about your Azure DevOps organization. Using Azure DevOps CLI and Azure DevOps REST API, PowerShell scripts extract data from Azure DevOps, store this information in an Azure SQL Database and shows them in a Power BI report.",https://github.com/vinijmoura/Azure-DevOps,PowerShell,2020-05-04T01:24:44Z,2024-10-07T11:35:26Z,822,243,1,MIT License
CCOInsights,Azure,Welcome to the Continuous Cloud Optimization Power BI Dashboard GitHub Project. In this repository you will find all the guidance and files needed to deploy the Dashboard in your environment to take benefit of a single pane of glass to get insights about your Azure resources and services. ,https://github.com/Azure/CCOInsights,Mathematica,2018-10-16T14:53:37Z,2024-10-02T13:59:16Z,715,209,7,MIT License
Data-Analyst-Roadmap,mrankitgupta,I am sharing my Journey of 66DaysofData into Data Analytics by participating in Ken Jee's #66daysofdata challenge,https://github.com/mrankitgupta/Data-Analyst-Roadmap,,2022-02-05T11:17:52Z,2024-10-13T15:24:16Z,691,104,1,MIT License
DataConnectors,microsoft,Data Connector SDK and samples for Power Query and Power BI,https://github.com/microsoft/DataConnectors,PowerShell,2017-04-03T14:50:42Z,2024-10-13T15:47:31Z,684,360,74,MIT License
PowerBI-CSharp,microsoft,Welcome to the .NET developer community for Power BI. Here you will find resources for the .NET SDKs for Power BI Embedded V2.0.0,https://github.com/microsoft/PowerBI-CSharp,C#,2015-09-28T21:52:49Z,2024-10-13T15:47:36Z,679,750,40,Other
powerbi-jupyter,microsoft,A Custom Jupyter Widget Library for Power BI,https://github.com/microsoft/powerbi-jupyter,Python,2021-03-15T09:19:21Z,2024-10-14T08:04:14Z,465,149,8,MIT License
powerbi-docs,MicrosoftDocs,,https://github.com/MicrosoftDocs/powerbi-docs,PowerShell,2018-01-25T23:56:36Z,2024-10-13T15:32:14Z,456,869,43,Creative Commons Attribution 4.0 International
PowerBI-ThemeTemplates,deldersveld,Snippets for assembling Power BI Themes,https://github.com/deldersveld/PowerBI-ThemeTemplates,,2018-01-20T14:00:01Z,2024-10-12T16:10:20Z,452,206,57,The Unlicense
sqlwatch,marcingminski,SQL Server Performance Monitor,https://github.com/marcingminski/sqlwatch,TSQL,2018-08-11T22:34:46Z,2024-10-09T19:32:02Z,432,170,91,Other
PowerBI-Icons,microsoft,Icons (PNG and SVG) for Power BI,https://github.com/microsoft/PowerBI-Icons,,2021-05-05T22:11:50Z,2024-10-12T16:10:23Z,424,203,3,Creative Commons Attribution 4.0 International
data-analyst-roadmap,mtahiraslan,"Based on my own experience, I think this roadmap will answer all the questions of how to become a data analyst from zero, which technologies and programming languages are better to know, what kind of soft skills do we need, how do I start my professional career in this field.",https://github.com/mtahiraslan/data-analyst-roadmap,,2023-02-25T04:34:05Z,2024-10-14T08:13:40Z,394,53,1,MIT License
pbiworkshops,microsoft,Training workshops for Power BI.,https://github.com/microsoft/pbiworkshops,Jupyter Notebook,2019-07-26T16:46:53Z,2024-10-13T15:12:14Z,347,102,1,Creative Commons Attribution 4.0 International
powerbi-powershell,microsoft,PowerShell community for Microsoft PowerBI. Here you will find resources and source for PowerShell modules targeting PowerBI.,https://github.com/microsoft/powerbi-powershell,C#,2018-02-26T19:16:45Z,2024-10-13T15:41:27Z,344,119,176,MIT License
PowerBI-visuals-tools,microsoft,Contains tools for building/packaging Power BI visuals,https://github.com/microsoft/PowerBI-visuals-tools,TypeScript,2016-04-13T19:33:45Z,2024-10-13T15:47:32Z,333,150,6,MIT License
powerbi-client-react,microsoft,Power BI for React which provides components and services to enabling developers to easily embed Power BI reports into their applications.,https://github.com/microsoft/powerbi-client-react,TypeScript,2020-06-08T07:07:15Z,2024-10-14T08:01:12Z,306,98,18,MIT License
powerbi-macguyver-toolbox,data-goblin,"Power BI report .pbip templates and patterns to create special visuals, address specific problems, and have adventures..",https://github.com/data-goblin/powerbi-macguyver-toolbox,C#,2023-07-25T20:41:53Z,2024-10-11T23:18:59Z,300,79,0,MIT License
office365dev,chenxizhang,《Office 365 开发入门指南》，本书已经于2018年9月份由北京大学出版社上市发行，可以通过 http://product.dangdang.com/25347066.html 进行购买。配套视频教程于2019年2月在网易云课堂上架，你可以通过 https://aka.ms/office365devlesson 参加学习，教程相关的参考资料、范例代码、相关链接，请访问 https://github.com/chenxizhang/office365dev/tree/master/lessons,https://github.com/chenxizhang/office365dev,JavaScript,2017-02-26T06:08:21Z,2024-10-13T15:31:25Z,278,99,0,MIT License
powerbi-powershell,Azure-Samples,Samples for calling the Power BI REST API via PowerShell,https://github.com/Azure-Samples/powerbi-powershell,PowerShell,2017-06-20T20:36:06Z,2024-10-09T15:34:21Z,258,191,34,MIT License
powerbiadoption,pbiaf,Power BI Adoption Framework,https://github.com/pbiaf/powerbiadoption,,2019-11-07T14:31:37Z,2024-10-13T15:41:54Z,231,66,4,No License
PowerBIRESTAPI,migueesc123,A Microsoft Power BI Data Connector or Power Query Connector for the Power BI REST API,https://github.com/migueesc123/PowerBIRESTAPI,,2017-06-24T07:06:59Z,2024-10-13T15:47:40Z,231,74,7,MIT License
PowerBI-ThemeTemplates,MattRudy,JSON Templates for assembling Power BI Themes,https://github.com/MattRudy/PowerBI-ThemeTemplates,,2021-10-14T22:17:19Z,2024-10-11T06:44:49Z,228,83,74,The Unlicense
FlowViz,nbrown02,"A Power BI template that provides easy to understand, actionable flow metrics and predictive analytics for your agile teams using Azure DevOps, Azure DevOps Server and/or TFS.",https://github.com/nbrown02/FlowViz,,2018-06-04T06:45:38Z,2024-10-07T14:55:56Z,202,48,0,MIT License
WEFFLES,jepayneMSFT,"Build a fast, free, and effective Threat Hunting/Incident Response Console with Windows Event Forwarding and PowerBI",https://github.com/jepayneMSFT/WEFFLES,PowerShell,2016-07-27T22:12:14Z,2024-08-12T19:24:02Z,200,33,4,No License
MDE-PowerBI-Templates,microsoft,A respository for MDATP PowerBI Templates,https://github.com/microsoft/MDE-PowerBI-Templates,PowerShell,2019-04-02T22:01:05Z,2024-10-13T15:52:21Z,196,122,25,MIT License
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28T00:35:42Z,2024-10-14T05:06:26Z,61860,19443,253,Apache License 2.0
annotated_deep_learning_paper_implementations,labmlai,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25T02:29:34Z,2024-10-14T09:20:56Z,54866,5660,29,MIT License
DeepLearning-500-questions,scutan90,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,2018-06-27T06:36:45Z,2024-10-14T09:20:24Z,54512,15853,118,GNU General Public License v3.0
Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,2016-10-14T11:49:48Z,2024-10-14T09:20:07Z,38089,7307,88,No License
deeplearningbook-chinese,exacity,Deep Learning Book Chinese Translation,https://github.com/exacity/deeplearningbook-chinese,TeX,2016-12-07T11:46:51Z,2024-10-14T09:20:08Z,35700,9119,67,No License
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23T18:35:18Z,2024-10-14T09:20:44Z,35090,4062,1107,Apache License 2.0
TTS,coqui-ai,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",https://github.com/coqui-ai/TTS,Python,2020-05-20T15:45:28Z,2024-10-14T09:37:19Z,34612,4196,87,Mozilla Public License 2.0
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12T18:39:48Z,2024-10-14T09:19:51Z,34074,18698,1187,Other
pytorch-tutorial,yunjey,PyTorch Tutorial for Deep Learning Researchers,https://github.com/yunjey/pytorch-tutorial,Python,2017-03-10T07:41:47Z,2024-10-14T07:25:03Z,30008,8108,86,MIT License
handson-ml2,ageron,"A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.",https://github.com/ageron/handson-ml2,Jupyter Notebook,2019-01-08T03:49:07Z,2024-10-14T06:59:34Z,27865,12746,220,Apache License 2.0
netron,lutzroeder,"Visualizer for neural network, deep learning and machine learning models",https://github.com/lutzroeder/netron,JavaScript,2010-12-26T12:53:43Z,2024-10-14T08:01:25Z,27834,2761,23,MIT License
data-science-ipython-notebooks,donnemartin,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",https://github.com/donnemartin/data-science-ipython-notebooks,Python,2015-01-23T19:38:29Z,2024-10-14T06:33:10Z,27341,7864,39,Other
tuning_playbook,google-research,A playbook for systematically maximizing the performance of deep learning models.,https://github.com/google-research/tuning_playbook,,2023-01-18T23:32:32Z,2024-10-14T08:58:53Z,26777,2223,8,Other
fastai,fastai,The fastai deep learning library,https://github.com/fastai/fastai,Jupyter Notebook,2017-09-09T17:43:36Z,2024-10-13T19:28:15Z,26193,7551,228,Apache License 2.0
awesome-deep-learning-papers,terryum,The most cited deep learning papers,https://github.com/terryum/awesome-deep-learning-papers,TeX,2016-06-03T06:48:30Z,2024-10-14T06:45:17Z,25444,4479,35,No License
ML-From-Scratch,eriklindernoren,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,https://github.com/eriklindernoren/ML-From-Scratch,Python,2017-02-05T12:11:23Z,2024-10-14T07:14:28Z,23909,4585,51,MIT License
awesome-deep-learning,ChristosChristofidis,"A curated list of awesome Deep Learning tutorials, projects and communities.",https://github.com/ChristosChristofidis/awesome-deep-learning,,2015-01-02T19:28:35Z,2024-10-14T07:35:15Z,23893,6031,36,No License
d2l-en,d2l-ai,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.",https://github.com/d2l-ai/d2l-en,Python,2018-10-09T01:04:37Z,2024-10-14T08:54:52Z,23460,4301,140,Other
deep-learning-for-image-processing,WZMIAOMIAO,deep learning for image processing including classification and object-detection etc.,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,Python,2019-11-14T15:02:27Z,2024-10-14T07:47:39Z,22686,7947,90,GNU General Public License v3.0
Paddle,PaddlePaddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,https://github.com/PaddlePaddle/Paddle,C++,2016-08-15T06:59:08Z,2024-10-14T09:21:26Z,22145,5560,1710,Apache License 2.0
mxnet,apache,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",https://github.com/apache/mxnet,C++,2015-04-30T16:21:15Z,2024-10-13T20:13:00Z,20772,6794,2010,Apache License 2.0
audiocraft,facebookresearch,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable music generation LM with textual and melodic conditioning.",https://github.com/facebookresearch/audiocraft,Python,2023-06-08T06:41:36Z,2024-10-14T06:50:59Z,20757,2116,300,MIT License
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 AI Machine learning Deep learning Computer vision NLP Projects with code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,,2021-01-02T12:08:37Z,2024-10-14T08:25:07Z,20006,5108,41,No License
deep-learning-with-python-notebooks,fchollet,"Jupyter notebooks for the code samples of the book ""Deep Learning with Python""",https://github.com/fchollet/deep-learning-with-python-notebooks,Jupyter Notebook,2017-09-05T19:47:56Z,2024-10-14T01:14:45Z,18635,8636,177,MIT License
Dive-into-DL-PyTorch,ShusenTang,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,https://github.com/ShusenTang/Dive-into-DL-PyTorch,Jupyter Notebook,2019-02-21T03:45:20Z,2024-10-14T09:20:31Z,18261,5388,80,Apache License 2.0
DeOldify,jantic,A Deep Learning based project for colorizing and restoring old images (and video!),https://github.com/jantic/DeOldify,Python,2018-10-31T23:32:34Z,2024-10-14T01:58:06Z,17985,2563,10,MIT License
CNTK,microsoft,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",https://github.com/microsoft/CNTK,C++,2015-11-26T09:52:06Z,2024-10-12T21:06:23Z,17504,4282,840,Other
nndl.github.io,nndl,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,https://github.com/nndl/nndl.github.io,HTML,2016-09-06T08:09:06Z,2024-10-14T09:12:47Z,17396,3578,83,No License
ml-agents,Unity-Technologies,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,https://github.com/Unity-Technologies/ml-agents,C#,2017-09-08T21:09:04Z,2024-10-14T06:58:10Z,17039,4148,44,Other
deeplearning-models,rasbt,"A collection of various deep learning architectures, models, and tips",https://github.com/rasbt/deeplearning-models,Jupyter Notebook,2019-06-05T16:08:20Z,2024-10-14T00:33:02Z,16666,4000,5,MIT License
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05T03:44:27Z,2024-10-14T05:31:44Z,37248,5896,21,MIT License
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13T18:04:58Z,2024-10-14T09:37:53Z,36665,14186,1194,Apache License 2.0
vllm,vllm-project,A high-throughput and memory-efficient inference and serving engine for LLMs,https://github.com/vllm-project/vllm,Python,2023-02-09T11:23:20Z,2024-10-14T09:29:18Z,28355,4197,2147,Apache License 2.0
jina,jina-ai,☁️ Build multimodal AI applications with cloud-native stack,https://github.com/jina-ai/jina,Python,2020-02-13T17:04:44Z,2024-10-14T06:40:06Z,21035,2217,22,Apache License 2.0
qdrant,qdrant,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",https://github.com/qdrant/qdrant,Rust,2020-05-30T21:37:01Z,2024-10-14T08:23:56Z,20128,1364,304,Apache License 2.0
label-studio,HumanSignal,Label Studio is a multi-type data labeling and annotation tool with standardized output format,https://github.com/HumanSignal/label-studio,JavaScript,2019-06-19T02:00:44Z,2024-10-14T09:20:36Z,18819,2337,864,Apache License 2.0
awesome-production-machine-learning,EthicalML,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",https://github.com/EthicalML/awesome-production-machine-learning,,2018-08-15T14:28:41Z,2024-10-14T07:38:45Z,17438,2231,7,MIT License
argo-workflows,argoproj,Workflow Engine for Kubernetes,https://github.com/argoproj/argo-workflows,Go,2017-08-21T18:50:44Z,2024-10-14T07:51:07Z,14956,3190,1104,Apache License 2.0
nni,microsoft,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",https://github.com/microsoft/nni,Python,2018-06-01T05:51:44Z,2024-10-14T01:43:45Z,14010,1810,417,MIT License
taipy,Avaiga,Turns Data and AI algorithms into production-ready web applications in no time.,https://github.com/Avaiga/taipy,Python,2022-02-18T15:55:45Z,2024-10-14T09:24:45Z,13610,1534,164,Apache License 2.0
awesome-mlops,visenger,A curated list of references for MLOps ,https://github.com/visenger/awesome-mlops,,2020-03-03T11:37:19Z,2024-10-14T07:43:20Z,12553,1882,8,No License
ml-engineering,stas00,Machine Learning Engineering Open Book,https://github.com/stas00/ml-engineering,Python,2020-09-02T19:23:01Z,2024-10-14T08:10:03Z,11399,687,3,Creative Commons Attribution Share Alike 4.0 International
dagster,dagster-io,"An orchestration platform for the development, production, and observation of data assets.",https://github.com/dagster-io/dagster,Python,2018-04-30T16:30:04Z,2024-10-14T08:53:37Z,11345,1435,2660,Apache License 2.0
weaviate,weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",https://github.com/weaviate/weaviate,Go,2016-03-30T15:03:17Z,2024-10-14T08:41:04Z,11110,772,601,"BSD 3-Clause ""New"" or ""Revised"" License"
mlops-zoomcamp,DataTalksClub,Free MLOps course from DataTalks.Club,https://github.com/DataTalksClub/mlops-zoomcamp,Jupyter Notebook,2021-10-21T09:35:28Z,2024-10-14T00:18:11Z,11057,2127,5,No License
amazon-sagemaker-examples,aws,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ",https://github.com/aws/amazon-sagemaker-examples,Jupyter Notebook,2017-10-23T05:55:22Z,2024-10-14T08:31:53Z,10062,6758,816,Apache License 2.0
great_expectations,great-expectations,Always know what to expect from your data.,https://github.com/great-expectations/great_expectations,Python,2017-09-11T00:18:46Z,2024-10-14T06:21:31Z,9904,1533,45,Apache License 2.0
kedro,kedro-org,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",https://github.com/kedro-org/kedro,Python,2019-04-18T10:29:56Z,2024-10-14T08:19:20Z,9899,899,292,Apache License 2.0
OpenLLM,bentoml,"Run any open-source LLMs, such as Llama 3.1, Gemma, as OpenAI compatible API endpoint in the cloud.",https://github.com/bentoml/OpenLLM,Python,2023-04-19T00:27:52Z,2024-10-14T04:50:05Z,9874,628,26,Apache License 2.0
wandb,wandb,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",https://github.com/wandb/wandb,Python,2017-03-24T05:46:23Z,2024-10-14T05:00:15Z,8997,667,1017,MIT License
machine-learning-systems-design,chiphuyen,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems""",https://github.com/chiphuyen/machine-learning-systems-design,HTML,2019-11-24T23:16:28Z,2024-10-13T11:34:18Z,8988,1416,10,No License
